Event,Obs,Q,Type,Loc/Freq,Particulars_a,begin_datetime,max_datetime,end_datetime
4770,G15,5,XRA,1-8A,C2.0,2015-01-05 02:04:00,2015-01-05 02:09:00,2015-01-05 02:11:00
4770,LEA,3,FLA,S07W07,SF,2015-01-05 02:07:00,2015-01-05 02:08:00,2015-01-05 02:16:00
4780,LEA,C,RSP,028-138,III/1,2015-01-05 02:15:00,,2015-01-05 02:18:00
4790,CUL,C,RSP,018-180,III/2,2015-01-05 02:40:00,,2015-01-05 02:42:00
4880,LEA,C,RSP,075-180,CTM/1,2015-01-05 03:12:00,,2015-01-05 10:54:00
4820,LEA,G,RNS,245,380,2015-01-05 03:37:00,2015-01-05 04:54:00,2015-01-05 05:39:00
4800,LEA,C,RSP,027-117,III/1,2015-01-05 03:39:00,,2015-01-05 03:41:00
4810,LEA,C,RSP,074-114,III/1,2015-01-05 04:04:00,,2015-01-05 04:05:00
4830,LEA,C,RSP,030-110,VI/1,2015-01-05 04:45:00,,2015-01-05 05:14:00
4900,SVI,C,RSP,036-180,CTM/1,2015-01-05 06:29:00,,2015-01-05 15:24:00
4960,CUL,C,RSP,018-180,III/1,2015-01-05 07:40:00,,2015-01-05 07:45:00
4840,SVI,C,RSP,025-180,III/1,2015-01-05 07:42:00,,2015-01-05 07:43:00
4850,SVI,3,FLA,S09W02,SN,2015-01-05 08:17:00,2015-01-05 08:21:00,2015-01-05 08:49:00
4850,G15,5,XRA,1-8A,C3.5,2015-01-05 08:19:00,2015-01-05 08:22:00,2015-01-05 08:25:00
4860,SVI,3,FLA,S09W02,SF,2015-01-05 09:07:00,2015-01-05 09:10:00,2015-01-05 09:12:00
4870,SVI,3,FLA,S07W06,SF,2015-01-05 09:15:00,2015-01-05 09:15:00,2015-01-05 09:34:00
4890,SVI,3,FLA,S05W08,SF,2015-01-05 10:58:00,2015-01-05 11:43:00,2015-01-05 12:29:00
4930,SAG,C,RSP,103-180,CTM/1,2015-01-05 12:25:00,,2015-01-05 21:12:00
4910,G15,5,XRA,1-8A,C3.9,2015-01-05 14:52:00,2015-01-05 14:59:00,2015-01-05 15:17:00
4920,HOL,3,FLA,S07W12,2F,2015-01-05 16:58:00,2015-01-05 17:44:00,2015-01-05 18:49:00
4920,G15,5,XRA,1-8A,C7.4,2015-01-05 17:34:00,2015-01-05 17:47:00,2015-01-05 18:04:00
4920,PAL,C,RSP,100-180,CTM/1,2015-01-05 17:37:00,,2015-01-05 23:59:00
4940,PAL,C,RSP,025-083,III/2,2015-01-05 20:23:00,,2015-01-05 20:24:00
4950,HOL,3,FLA,S04W15,SF,2015-01-05 20:28:00,2015-01-05 20:31:00,2015-01-05 20:34:00
4970,CUL,C,RSP,020-060,III/1,2015-01-05 20:59:00,,2015-01-05 21:00:00
4980,HOL,3,FLA,S06W15,1F,2015-01-05 22:00:00,2015-01-05 22:12:00,2015-01-05 22:41:00
4980,G15,5,XRA,1-8A,C4.1,2015-01-05 22:03:00,2015-01-05 22:13:00,2015-01-05 22:20:00
4980,LEA,C,RSP,113-180,CTM/1,2015-01-05 22:04:00,,2015-01-05 23:59:00
4990,G15,5,XRA,1-8A,C4.4,2015-01-05 23:07:00,2015-01-05 23:20:00,2015-01-05 23:36:00
4990,HOL,3,FLA,S11W64,SF,2015-01-05 23:32:00,2015-01-05 23:34:00,2015-01-05 23:38:00
5000,LEA,C,RSP,130-180,CTM/1,2015-01-06 00:00:00,,2015-01-06 04:25:00
5000,LEA,C,RSP,025-161,VI/1,2015-01-06 00:42:00,,2015-01-06 01:33:00
5000,CUL,C,RSP,025-057,III/1,2015-01-06 00:43:00,,2015-01-06 00:43:00
5010,CUL,C,RSP,018-100,III/1,2015-01-06 01:01:00,,2015-01-06 01:02:00
5010,PAL,C,RSP,025-040,VI/1,2015-01-06 01:01:00,,2015-01-06 01:19:00
5020,CUL,C,RSP,018-180,III/1,2015-01-06 04:03:00,,2015-01-06 04:05:00
5080,LEA,3,FLA,S08W16,SF,2015-01-06 04:24:00,2015-01-06 04:51:00,2015-01-06 05:16:00
5030,CUL,C,RSP,100-500,III/1,2015-01-06 04:30:00,,2015-01-06 04:30:00
5030,LEA,G,RBR,410,180,2015-01-06 04:56:00,2015-01-06 04:56:00,2015-01-06 04:56:00
5080,CUL,C,RSP,300-500,III/1,2015-01-06 04:56:00,,2015-01-06 04:57:00
5030,G15,5,XRA,1-8A,C6.0,2015-01-06 05:16:00,2015-01-06 05:31:00,2015-01-06 05:58:00
5030,LEA,3,FLA,S09W16,1F,2015-01-06 05:18:00,2015-01-06 05:42:00,2015-01-06 06:32:00
5140,CUL,C,RSP,130-360,III/1,2015-01-06 06:24:00,,2015-01-06 06:24:00
5150,CUL,C,RSP,020-150,III/1,2015-01-06 07:07:00,,2015-01-06 07:07:00
5040,CUL,C,RSP,020-210,III/1,2015-01-06 07:12:00,,2015-01-06 07:17:00
5050,SVI,C,RSP,025-180,III/2,2015-01-06 08:06:00,,2015-01-06 08:12:00
5050,LEA,U,RBR,245,150,2015-01-06 08:09:00,2015-01-06 08:09:00,2015-01-06 08:09:00
5060,G15,5,XRA,1-8A,C2.2,2015-01-06 09:34:00,2015-01-06 09:43:00,2015-01-06 09:51:00
5060,LEA,3,FLA,S08W17,SF,2015-01-06 09:36:00,2015-01-06 09:41:00,2015-01-06 09:58:00
5090,G15,5,XRA,1-8A,C9.7,2015-01-06 11:40:00,2015-01-06 11:48:00,2015-01-06 11:53:00
5100,SVI,C,RSP,025-180,III/2,2015-01-06 13:24:00,,2015-01-06 13:27:00
5100,G15,5,XRA,1-8A,C1.4,2015-01-06 13:25:00,2015-01-06 13:30:00,2015-01-06 13:36:00
